track_id,genre
2,Hip-Hop
5,Hip-Hop
10,Pop
140,Folk
141,Folk
148,Experimental
182,Rock
190,Folk
193,Folk
194,Folk
197,Folk
200,Folk
203,Folk
204,Folk
207,Folk
210,Folk
211,Folk
212,Folk
213,Pop
255,Rock
256,Rock
368,Rock
424,Experimental
459,Rock
534,Folk
540,Folk
546,Folk
574,Rock
602,Folk
615,Experimental
620,Folk
621,Folk
625,Folk
666,International
667,International
676,Hip-Hop
690,Rock
694,Hip-Hop
695,Hip-Hop
704,International
705,International
706,International
707,International
708,International
709,International
714,Folk
715,Folk
716,Folk
718,Folk
777,Rock
814,Folk
821,Pop
822,Pop
825,Rock
853,International
890,Folk
892,Folk
897,Experimental
993,Rock
995,Experimental
997,Experimental
998,Experimental
1039,Rock
1040,Rock
1066,Experimental
1069,Experimental
1073,Experimental
1075,Experimental
1082,International
1083,Experimental
1087,Rock
1102,Rock
1193,Folk
1195,Folk
1196,Folk
1197,Folk
1249,Experimental
1259,Experimental
1270,Rock
1276,Experimental
1277,Experimental
1278,Experimental
1417,Rock
1427,Rock
1443,Experimental
1482,Electronic
1510,Experimental
1544,Folk
1642,Pop
1644,Pop
1649,Pop
1661,Pop
1663,Pop
1666,Pop
1673,Experimental
1680,International
1681,International
1682,International
1683,International
1684,International
1685,International
1686,International
1687,International
1688,International
1689,International
1701,Folk
1702,Folk
1703,Folk
1704,Folk
1706,Rock
1720,Rock
1732,Experimental
1733,Experimental
1735,Experimental
1736,Experimental
1883,Rock
1891,Rock
1893,Folk
1924,Folk
1925,Folk
1929,Experimental
1930,Rock
2012,Experimental
2096,Experimental
2097,Folk
2099,Pop
3263,Folk
3264,Folk
3265,Folk
3266,Folk
3270,Folk
3271,Folk
3272,Folk
3273,Folk
3274,Folk
3492,Rock
3532,Pop
3533,Pop
3534,Pop
3535,Pop
3537,Pop
3538,Pop
3573,Electronic
3598,Folk
3624,Rock
3707,Folk
3708,Folk
3720,Rock
3721,Rock
3722,Rock
3724,Rock
3725,Rock
3761,Rock
3762,Rock
3763,Rock
3765,Rock
3766,Rock
3775,International
3776,International
3777,International
3778,International
3779,International
3832,Folk
3833,Rock
3840,Rock
3880,Folk
3895,International
3896,International
3904,Folk
3905,Folk
3906,Folk
3908,Folk
3909,Folk
3910,Folk
3911,Folk
3912,Folk
3913,Folk
3920,Folk
3921,Folk
3950,Rock
4013,Folk
4017,Folk
4022,Rock
4037,Folk
4066,Folk
4067,Folk
4068,Folk
4069,Folk
4070,International
4071,International
4072,International
4073,International
4074,International
4075,International
4076,International
4077,International
4078,International
4079,International
4080,International
4091,International
4092,International
4093,International
4094,International
4095,International
4096,International
4097,International
4098,International
4099,International
4100,International
4101,International
4102,International
4103,International
4108,Rock
4232,International
4233,International
4234,International
4235,International
4236,International
4239,International
4450,Folk
4507,International
4508,International
4509,International
4510,International
4511,International
4519,Electronic
4520,Electronic
4521,Electronic
4522,Electronic
4682,Hip-Hop
4684,Hip-Hop
4685,Hip-Hop
4688,Hip-Hop
4777,Rock
4778,Rock
4779,Rock
4780,Rock
4781,Rock
4782,Rock
4784,Rock
4785,Rock
4786,Rock
4787,Rock
4788,Rock
4799,Rock
4835,Rock
4836,Rock
4838,Rock
4846,International
4848,International
4849,International
5006,Rock
5156,Folk
5157,Folk
5158,Folk
5159,Folk
5169,Folk
5170,Folk
5171,Folk
5191,Pop
5264,Hip-Hop
5268,Hip-Hop
5376,Folk
5381,Folk
5521,Experimental
5879,Folk
5936,Folk
5940,Folk
6329,International
6330,International
6331,International
6332,International
6333,International
6342,International
6354,International
6357,International
6358,International
6360,International
6363,International
6366,International
6367,International
6368,International
6370,International
6372,International
6373,International
6376,International
6379,International
6380,International
6381,International
6382,International
6383,International
6385,International
6387,International
6389,International
6390,International
6393,International
6394,International
6396,International
6406,Folk
6407,Folk
6439,Hip-Hop
6440,Hip-Hop
6442,Hip-Hop
6443,Hip-Hop
6448,Hip-Hop
6459,International
6461,Folk
6463,Folk
6467,Folk
6469,International
6517,Rock
6519,Rock
6603,Hip-Hop
6605,Hip-Hop
6606,Hip-Hop
6607,Hip-Hop
6608,Hip-Hop
6609,Hip-Hop
6610,Hip-Hop
6611,Hip-Hop
6674,Experimental
6675,Experimental
6677,Experimental
6679,Experimental
6680,Experimental
6684,Experimental
6762,Folk
6776,Rock
6778,Rock
6779,Folk
6782,Folk
6783,Folk
6788,Rock
6802,International
6803,International
6854,Folk
6855,Folk
6856,Folk
6857,Folk
7011,Electronic
7373,Experimental
7374,Experimental
7375,Experimental
7376,Experimental
7377,Experimental
7378,Experimental
7379,Experimental
7381,Experimental
7383,Experimental
7385,Experimental
7386,Experimental
7388,Experimental
7391,Experimental
7393,Experimental
7481,Hip-Hop
7482,Hip-Hop
7483,Hip-Hop
7487,Hip-Hop
7488,Hip-Hop
7489,Hip-Hop
7490,Hip-Hop
7491,Hip-Hop
7492,Hip-Hop
7495,Rock
7526,Pop
7527,Pop
7528,Pop
7529,Pop
7548,Experimental
7554,Experimental
7709,Folk
7710,Folk
7711,Folk
7712,Folk
7713,Folk
7872,Rock
8056,Rock
8208,Rock
8256,Folk
8259,Folk
8261,Folk
8345,Experimental
8357,Experimental
8363,Experimental
8372,Experimental
8416,Experimental
9152,Experimental
9155,Experimental
9307,Experimental
9476,Experimental
9477,Experimental
9491,Rock
9505,Experimental
9511,Rock
9512,International
9513,Rock
9550,Rock
9553,Rock
9555,Rock
9557,Rock
9559,Rock
9560,Rock
9678,Experimental
9721,Experimental
9846,Experimental
9887,Folk
9888,Folk
9918,Experimental
9962,Rock
10186,International
10192,Hip-Hop
10250,Instrumental
10374,Experimental
10375,Experimental
10376,Experimental
10377,Experimental
10381,Folk
10382,Folk
10383,Folk
10384,Folk
10385,Folk
10386,Folk
10387,Folk
10388,Folk
10389,Folk
10435,Experimental
10438,Folk
10439,Folk
10440,Folk
10441,Folk
10442,Folk
10443,Folk
10444,Folk
10447,Folk
10458,Folk
10480,Folk
10481,Folk
10485,Folk
10521,Experimental
10527,Experimental
10535,Experimental
10541,Experimental
10575,Folk
10577,Folk
10668,Rock
10669,Rock
10670,Rock
10671,Rock
10672,Rock
10673,Rock
10674,Rock
10675,Rock
10676,Rock
10677,Rock
10678,Folk
10679,Folk
10682,Folk
10684,Folk
10693,Hip-Hop
10694,Hip-Hop
10695,Hip-Hop
10696,Hip-Hop
10697,Hip-Hop
10698,Hip-Hop
10699,Hip-Hop
10805,Pop
10806,Pop
10807,Pop
10808,Pop
10809,Pop
10810,Pop
10983,Experimental
10992,Folk
10993,Folk
11019,Experimental
11020,Experimental
11059,Folk
11198,Pop
11199,Pop
11200,Pop
11204,Hip-Hop
11206,Electronic
11234,Experimental
11237,Experimental
11239,Experimental
11242,Experimental
11261,Pop
11262,Electronic
11264,Rock
11268,Rock
11298,Hip-Hop
11299,Hip-Hop
11306,Rock
11333,Experimental
11334,Experimental
11503,Folk
11504,Folk
11505,Folk
11508,Folk
11544,Experimental
11638,Instrumental
11671,International
11672,International
11673,International
11674,International
11675,International
11677,International
11679,International
11681,International
11682,International
11683,International
11763,Hip-Hop
11764,Hip-Hop
11765,Hip-Hop
11766,Hip-Hop
11767,Hip-Hop
11768,Hip-Hop
11769,Hip-Hop
11770,Hip-Hop
11771,Hip-Hop
11772,Hip-Hop
11773,Hip-Hop
11774,Hip-Hop
11775,Hip-Hop
11776,Hip-Hop
11777,Hip-Hop
11778,Hip-Hop
11779,Hip-Hop
11780,Hip-Hop
11781,Hip-Hop
11782,Hip-Hop
11783,Hip-Hop
11784,Hip-Hop
11785,Hip-Hop
11786,Hip-Hop
11787,Hip-Hop
11788,Hip-Hop
11789,Hip-Hop
11790,Hip-Hop
11791,Hip-Hop
11792,Hip-Hop
11793,Hip-Hop
11794,Hip-Hop
11795,Hip-Hop
11803,Hip-Hop
11818,Hip-Hop
11839,Hip-Hop
11861,Hip-Hop
11862,Hip-Hop
11867,Hip-Hop
11868,Hip-Hop
11916,Hip-Hop
11917,Hip-Hop
11918,Hip-Hop
11919,Hip-Hop
11920,Hip-Hop
11921,Hip-Hop
11922,Hip-Hop
11933,Rock
11937,Pop
